Source	Target	date_in	date_out	rubriek
15458	0	1945-01-01	1946-01-01	3500.0
15458	1	1946-01-01	1952-01-01	3500.0
15458	2	1955-01-01	1962-01-01	3500.0
15458	3	1962-01-09	1966-11-14	3500.0
15830	3	1965-01-12	1971-01-07	3500.0
15830	3	1971-01-07	1975-01-10	3500.0
15830	3	1975-01-10	1980-11-10	3500.0
15830	3	1981-01-01	2016-01-27	3611.0
15896	3	1974-01-02	1981-01-09	3500.0
15897	3	1990-01-01	1995-01-01	3611.0
15931	3	1978-01-01	1984-01-01	3611.0
15458	4	1970-01-09	1990-04-30	3500.0
15680	4	2012-03-14	2012-07-22	3500.0
15680	4	2016-03-16	2016-01-27	3500.0
15721	4	2014-03-27	2016-01-27	3500.0
15458	5	1978-01-04	1980-01-08	3500.0
15458	6	1978-01-01	1986-01-01	3500.0
15458	6	1978-01-10	1986-01-01	3500.0
15458	6	1978-11-10	1986-01-01	3611.0
15458	6	1978-01-01	1986-01-01	3611.0
15458	7	1979-01-01	1986-01-01	3500.0
15458	7			3910.0
16072	7	1975-01-01	1983-01-01	3500.0
16150	7	1986-01-01	1991-01-01	3611.0
15458	8	1980-01-08	1995-01-01	3500.0
15458	8	1966-01-01	1980-01-08	3611.0
15569	8	2013-01-07	2016-01-27	3611.0
15839	8			3611.0
15889	8	1999-01-01	2013-01-01	3500.0
15910	8	2014-01-03	2016-01-27	3610.0
15929	8	2013-01-07	2016-01-27	3611.0
15941	8			3611.0
15458	9	1986-01-05	1990-01-05	3500.0
15458	10	1990-09-16	1991-01-01	3500.0
15458	11	1991-01-08	1992-01-06	3500.0
15458	12	1946-01-01	1954-01-01	3520.0
15458	12	1950-01-01	1957-01-01	3520.0
15757	12	1961-01-01	1965-01-01	3520.0
15896	12			3900.0
15458	13	1954-01-01	1969-01-01	3520.0
15573	13	1964-01-01	1969-01-01	3520.0
15894	13			3520.0
15458	14	1954-01-01	1969-01-01	3520.0
15458	15			3520.0
15458	16			3520.0
15458	17	1967-10-16	1973-06-30	3520.0
15801	17	1973-08-09	1976-11-09	3520.0
15801	17	1979-09-15	1980-04-10	3520.0
15987	17	1979-06-04	1980-01-10	3520.0
15458	18			3610.0
15839	18	1997-01-07	2016-01-27	3611.0
16052	18	2010-01-01	2016-01-27	3610.0
15458	19	1996-01-01	2016-01-27	3610.0
15458	20	1998-01-03	2016-01-27	3610.0
15458	21			3610.0
15458	22	2011-01-01	2016-01-27	3610.0
15458	22			3611.0
15458	23	2011-01-01	2016-01-27	3610.0
15458	24			3610.0
15458	25	1948-01-01	1951-01-01	3611.0
15458	26			3611.0
15458	27			3611.0
15458	28			3611.0
15458	29	1964-01-01	1973-01-01	3611.0
15458	30			3611.0
15458	31			3611.0
15458	32	1970-01-01	1980-01-01	3611.0
15458	33	1971-01-01	1988-01-01	3611.0
15458	34	1974-03-15	1977-09-02	3611.0
15458	35	1975-01-01	2016-01-27	3611.0
15459	35	1977-01-01	1981-01-01	3611.0
15857	35	1980-01-01	2016-01-27	3611.0
15458	36	1975-01-02	1978-01-01	3611.0
15476	36	1978-01-01	1988-01-01	3611.0
15490	36			3611.0
15491	36	1993-01-06	1995-01-01	3611.0
15592	36	1999-01-01	2019-01-01	3611.0
15734	36			3611.0
15753	36			3611.0
15797	36	1996-01-04	1998-01-05	3611.0
15824	36	1991-01-09	1993-01-06	3611.0
15848	36	1993-01-01	1995-01-06	3611.0
15857	36	1985-01-01	2016-01-27	3611.0
15858	36			3611.0
15862	36	1985-01-02	1998-01-09	3611.0
15871	36	1989-01-12	1998-01-05	3611.0
15912	36	1991-01-09	2017-01-01	3611.0
15973	36			3611.0
15991	36	1994-12-20	2012-01-07	3611.0
16256	36			3610.0
15458	37	1977-01-01	2016-01-27	3611.0
15458	38	1977-01-01	2016-01-27	3611.0
15458	39	1977-01-01	2016-01-27	3611.0
15458	40			3611.0
15458	41	1977-01-01	2016-01-27	3611.0
15458	42			3611.0
16150	42	1985-01-01	1992-01-01	3611.0
15458	43	1977-01-01	2016-01-27	3611.0
15458	44			3611.0
15477	44	1987-01-01	1989-01-01	3611.0
15844	44	2016-01-01	2013-01-01	3611.0
16372	44	2018-01-06	2016-01-27	3610.0
15458	45			3611.0
15458	46			3611.0
15458	47			3611.0
15458	48			3611.0
15458	49			3611.0
15458	50			3611.0
15458	51	1979-01-01	1986-12-31	3611.0
15458	51			3910.0
15476	51			3611.0
