"b1-nummer","achternaam","voorletters","voorna(a)m(en)","roepnaam","prepositie","geslacht","partij(en)/fractie(s)","functie","bijzondere functie(s)","post(en) in kabinet(ten)","naam kabinet(ten)","begin periode","einde periode","url"
"00795","Leeuwen","J.","Johanna","Hannie","van","v","CDA","1e kamerlid","","","","1995-06-13","1999-06-07","http://www.parlementairdocumentatiecentrum.nl/id/vg09ll2qr6qm"
"00795","Leeuwen","J.","Johanna","Hannie","van","v","CDA","1e kamerlid","","","","1999-06-08","2003-06-09","http://www.parlementairdocumentatiecentrum.nl/id/vg09ll2qr6qm"
"00795","Leeuwen","J.","Johanna","Hannie","van","v","CDA","1e kamerlid","","","","2003-06-10","2007-06-11","http://www.parlementairdocumentatiecentrum.nl/id/vg09ll2qr6qm"
"00928","Mierlo","H.A.F.M.O.","Henricus Antonius Franciscus Maria Oliva","Hans","van","m","D66","2e kamerlid","","","","1998-05-19","1998-08-17","http://www.parlementairdocumentatiecentrum.nl/id/vg09ll3f8zzn"
"00928","Mierlo","H.A.F.M.O.","Henricus Antonius Franciscus Maria Oliva","Hans","van","m","D66","minister","","Buitenlandse Zaken","eerste kabinet-Kok","1994-08-22","1998-08-02","http://www.parlementairdocumentatiecentrum.nl/id/vg09ll3f8zzn"
"00928","Mierlo","H.A.F.M.O.","Henricus Antonius Franciscus Maria Oliva","Hans","van","m","D66","minister","","Viceminister-president","eerste kabinet-Kok","1994-08-22","1998-08-02","http://www.parlementairdocumentatiecentrum.nl/id/vg09ll3f8zzn"
"01298","Steenkamp","P.A.J.M.","Petrus Antonius Josephus Maria","Piet","","m","CDA","1e kamerlid","","","","1995-06-13","1999-06-07","http://www.parlementairdocumentatiecentrum.nl/id/vg09ll9ar8zy"
"01363","Thijn","E.","Eduard","Ed","van","m","PvdA","1e kamerlid","","","","1999-06-08","2003-06-09","http://www.parlementairdocumentatiecentrum.nl/id/vg09llanquyh"
"01363","Thijn","E.","Eduard","Ed","van","m","PvdA","1e kamerlid","","","","2003-06-10","2007-06-11","http://www.parlementairdocumentatiecentrum.nl/id/vg09llanquyh"
"01542","Wiegel","H.","Hans","Hans","","m","VVD","1e kamerlid","","","","1995-06-13","1999-06-07","http://www.parlementairdocumentatiecentrum.nl/id/vg09llcz55yq"
"01542","Wiegel","H.","Hans","Hans","","m","VVD","1e kamerlid","","","","1999-06-08","2000-03-31","http://www.parlementairdocumentatiecentrum.nl/id/vg09llcz55yq"
"01615","Borst-Eilers","E.","Else","Els","","v","D66","2e kamerlid","","","","1998-05-19","1998-08-02","http://www.parlementairdocumentatiecentrum.nl/id/vg09lldosxzi"
"01615","Borst-Eilers","E.","Else","Els","","v","D66","minister","","Viceminister-president","tweede kabinet-Kok","1998-08-03","2002-07-21","http://www.parlementairdocumentatiecentrum.nl/id/vg09lldosxzi"
"01615","Borst-Eilers","E.","Else","Els","","v","D66","minister","","Volksgezondheid, Welzijn en Sport","eerste kabinet-Kok","1994-08-22","1998-08-02","http://www.parlementairdocumentatiecentrum.nl/id/vg09lldosxzi"
"01615","Borst-Eilers","E.","Else","Els","","v","D66","minister","","Volksgezondheid, Welzijn en Sport","tweede kabinet-Kok","1998-08-03","2002-07-21","http://www.parlementairdocumentatiecentrum.nl/id/vg09lldosxzi"
"01620","Schmitz","E.M.A.","Elizabeth Maria Alida","Elizabeth","","v","PvdA","staatssecretaris","","Justitie","eerste kabinet-Kok","1994-08-22","1998-08-02","http://www.parlementairdocumentatiecentrum.nl/id/vg09lldrwxzn"
"01622","Sorgdrager","W.","Winnifred","Winnie","","v","D66","1e kamerlid","","","","1999-06-08","1999-09-30","http://www.parlementairdocumentatiecentrum.nl/id/vg09lldt2wzp"
"01622","Sorgdrager","W.","Winnifred","Winnie","","v","D66","minister","","Justitie","eerste kabinet-Kok","1994-08-22","1998-08-02","http://www.parlementairdocumentatiecentrum.nl/id/vg09lldt2wzp"
"01628","Vondervoort","A.G.M.","Antonia Geertruida Maria","Tonny","van de","v","PvdA","staatssecretaris","","Binnenlandse Zaken","eerste kabinet-Kok","1994-08-22","1998-08-02","http://www.parlementairdocumentatiecentrum.nl/id/vg09lldv7wzv"
"01629","Wijers","G.J.","Gerardus Johannes","Hans","","m","D66","minister","","Economische Zaken","eerste kabinet-Kok","1994-08-22","1998-08-02","http://www.parlementairdocumentatiecentrum.nl/id/vg09lldw6vzw"
"01630","Zalm","G.","Gerrit","Gerrit","","m","VVD","2e kamerlid","","","","1998-05-19","1998-08-02","http://www.parlementairdocumentatiecentrum.nl/id/vg09lldw6vzx"
"01630","Zalm","G.","Gerrit","Gerrit","","m","VVD","2e kamerlid","fractievoorzitter","","","2002-05-23","2003-01-29","http://www.parlementairdocumentatiecentrum.nl/id/vg09lldw6vzx"
"01630","Zalm","G.","Gerrit","Gerrit","","m","VVD","2e kamerlid","fractievoorzitter","","","2003-01-30","2003-05-26","http://www.parlementairdocumentatiecentrum.nl/id/vg09lldw6vzx"
"01630","Zalm","G.","Gerrit","Gerrit","","m","VVD","minister","","Economische Zaken","tweede kabinet-Balkenende","2006-07-03","2006-07-06","http://www.parlementairdocumentatiecentrum.nl/id/vg09lldw6vzx"
"01630","Zalm","G.","Gerrit","Gerrit","","m","VVD","minister","","Financiën","derde kabinet-Balkenende","2006-07-07","2007-02-21","http://www.parlementairdocumentatiecentrum.nl/id/vg09lldw6vzx"
