Label	Type	Id
BNV Bureau Nationale Veiligheid te s Gravenhage	Org	0
N V Koninklijke Nederlandse Gist en Spiritusfabriek te Delft	Org	1
Gemeente Rijswijk Z H  onder meer hoofd bijzonder maatschappelijk werk	Org	2
CBTB Nederlandse Christelijke Boeren en Tuindersbond	Org	3
Gemeenteraad van Zoetermeer	Org	4
N V bouw en handelsconcern OGEM	Org	5
NZR Nationale Ziekenhuisraad	Org	6
Nationale Kruisvereniging	Org	7
SVB Sociale Verzekeringsbank	Org	8
Zoetermeer	Org	9
Burgemeester van Hazerswoude	Org	10
Burgemeester van Nootdorp	Org	11
ARJOS Anti Revolutionaire Jongeren Studieclubs 	Org	12
ARJOS Anti Revolutionaire Jongeren Studieclubs	Org	13
ARP kamercentrale Dordrecht	Org	14
AR vrouwencomité	Org	15
commissie ARP	Org	16
Nederlandse Gedachten 	Org	17
Stichting Willem Drees lezing	Org	18
NHDI Nederlands Hervormde Diaconessen Inrichtingen	Org	19
Stichting Olijf	Org	20
PCOB Protestants Christelijke Ouderen Bond	Org	21
Nationaal Revalidatiefonds	Org	22
Regionaal Platform Arbeidsmarkt Haaglanden	Org	23
Breed Platform over verzetsleden	Org	24
Stichting 1940 1945	Org	25
Kerk en bedrijfsleven Gereformeerde Kerken in Nederland	Org	26
Personeelszaken Gereformeerde Kerken in Nederland	Org	27
Gereformeerde Sociale Arbeid	Org	28
CPB Christelijke Plattelandsvrouwen Bond	Org	29
Christelijk Instituut voor dove kinderen Effatha	Org	30
Sonneheerdt	Org	31
Vereniging voor Wetenschappelijk Onderwijs op gereformeerde grondslag Vrije Universiteit	Org	32
Stichting Algemeen Ziekenhuis  t Lange Land te Zoetermeer	Org	33
Staatscommissie Bevolkingsvraagstukken Staatscommissie Muntendam	Org	34
Adviesraad Defensie aangelegenheden	Org	35
Noord Atlantische Assemblée	Org	36
Nederlandse Vereniging voor	Org	37
Ons Plattelandsleven	Org	38
Nederlandse Gespreks Centrum te Rotterdam	Org	39
Maatschappelijk werk bij de Nederlandse Christelijke Bond van Overheidspersoneel	Org	40
NVOZ Nederlandse Vereniging van Ongevallen en Ziektekostenverzekeraars	Org	41
Nationale Raad voor de Volksgezondheid	Org	42
NRWM Nationale Raad Welzijn Militairen	Org	43
RNW Radio Nederland Wereldomroep	Org	44
Stichting Jeugd en Techniek	Org	45
IPPO Instituut voor Patiënt Gebonden Psychiatrisch Onderzoek	Org	46
Zoetermeer FM	Org	47
commissie Van Leeuwen	Org	48
Stichting Zoetermeer Promotie	Org	49
Protestantse Stichting Hogere beroepsopleiding voor verpleegkundigen Refaja academie te Amstelveen	Org	50
Atlantische Commissie	Org	51
Adviesraad Vrede en Veiligheid	Org	52
NK Nationale Kruisvereniging	Org	53
Raad voor het Ouderenbeleid	Org	54
Vereniging Ons Leger	Org	55
Comité van Aanbeveling Nederland Israël	Org	56
Nutricia Research Foundation	Org	57
Nederlands Migratie Instituut	Org	58
Steunfonds Leger des Heils	Org	59
RBA Regionaal Arbeidsvoorziening Zuidelijke Haaglanden	Org	60
Steunfonds Defence and Aid Fund Nederland	Org	61
IZA Nederland	Org	62
Van Lanschot Zoetermeer	Org	63
Stuurgroep Gehandicapten en Ouderen in het verkeer	Org	64
RBA Regionaal Arbeidsvoorziening Den Haag Delft	Org	65
Andreasziekenhuis te Amsterdam	Org	66
Remu	Org	67
Scenariocommissie Vergrijzing	Org	68
Permanent Overlegorgaan Verkeersveiligheid	Org	69
KPZ Kontaktcommissie Publiekrechtelijke Ziektekostenregelingen	Org	70
Solidariteit tussen de generaties Stichting Doorwerking Christelijk Sociaal Congres	Org	71
Vestia	Org	72
Sint Lucas Andreasziekenhuis te Amsterdam	Org	73
Stichting Mobiliteit	Org	74
Regionaal Platform ZNH	Org	75
Taskforce Ouderen en Arbeid	Org	76
NPCF Nederlandse Patiënten Consumenten Federatie	Org	77
Taskforce Handicap en Samenleving	Org	78
Taskforce Handicap en Lokale Samenleving	Org	79
Christelijke Plattelandsvrouwen Bond	Org	80
redacteur l Indepedent te Perpignan	Org	81
Algemeen Handelsblad	Org	82
CONS Commissie Ontwikkelingssamenwerking Nederland Suriname	Org	83
Nederlands Instituut voor Internationale Betrekkingen Clingendael	Org	84
De Gids	Org	85
Groot Dictee der Nederlandse Taal	Org	86
Dr C J Roosstichting	Org	87
Nederlands Balletorkest	Org	88
Conventie voor de toekomst van Europa	Org	89
Orkater en De Mexicaanse Hond	Org	90
Nijmeegse studentenvereniging Carolus Magnus	Org	91
Comité van Aanbeveling IDFA	Org	92
economisch N V Uithoornse Bacon en Conservenfabriek De Hoorn te Uithoorn	Org	93
N V Uithoornse Bacon en Conservenfabriek De Hoorn te Uithoorn	Org	94
Technische Hogeschool te Eindhoven	Org	95
Centrum voor Staatkundige Vorming	Org	96
Te Elfder Ure	Org	97
AKWV Algemene Katholieke Werkgeversvereniging 	Org	98
Bedrijfschap Vleeswarenindustrie	Org	99
IISG Internationaal Instituut voor Sociale Geschiedenis te Amsterdam	Org	100
N V KLM Koninklijke Luchtvaartmaatschappij	Org	101
SER Sociaal Economische Raad	Org	102
Hogeschoolraad	Org	103
Pastoraal Concilie te Noordwijkerhout	Org	104
Reorganisatiecommissie Katholieke Kerk in Nederland	Org	105
Adviescommissie Industriebeleid Commissie Wagner	Org	106
Raad van Commissarisen N V Koninklijke Nederlandse Papierfabrieken te Eindhoven	Org	107
N V CSM Centrale Suiker Maatschappij	Org	108
N V Grontmij	Org	109
Nationaal Comité Europees jaar van het toerisme	Org	110
N V NMB Postbank	Org	111
RVE Adviescentrum Volwasseneneducatie te Utrecht	Org	112
ICL Nederland	Org	113
ING Internationale Nederlanden Groep	Org	114
Stichting Radio Nederland Wereldomroep	Org	115
Catharina Ziekenhuis te Eindhoven	Org	116
Vissers Wegenbouw	Org	117
Gemeenteraad van Amsterdam	Org	118
Burgemeester van Amsterdam	Org	119
BCG De Boer Croon Groep	Org	120
socialisme	Org	121
WBS Wiardi Beckman Stichting	Org	122
Stichting Vluchtelingen	Org	123
Nederlandse Aviesraad van Humanity in Action	Org	124
Pinpoint	Org	125
Public Space Boer & Croon Groep	Org	126
Stichting Amsterdam Vluchtstad	Org	127
Erfgoed van de Oorlog	Org	128
Eurocity	Org	129
öperatieve vereniging De Witkar	Org	130
De Beuk	Org	131
Het Parool	Org	132
Politie opleidingsschool te Noord Holland	Org	133
Raad van Bijstand RIOD Rijksinstituut voor Oorlogsdocumentatie	Org	134
N V Luchthaven Schiphol	Org	135
Herinneringscentrum Westerbork	Org	136
Landelijk Bureau Racismebestrijding	Org	137
EU commissie inzake racisme en xenofobie	Org	138
ANVR Algemeen Nederlands Verbond van Reisondernemingen	Org	139
Stichting Het Parool  later Stichting Het Nieuwe Parool	Org	140
Adviescommissie verslavingszorg	Org	141
AT5	Org	142
ECI literatuurprijs schrijvers van nu	Org	143
Sport	Org	144
Bosnië	Org	145
Academisch Ziekenhuis Groningen	Org	146
Universiteit van Amsterdam	Org	147
Sociaal Agogisch Centrum	Org	148
AFC Ajax	Org	149
Cleveringa leerstoel 	Org	150
International Board	Org	151
Europees Waarnemingscentrum inzake racisme en xenofobie	Org	152
Adviescollege besteding vierde tranche pool van door Nazi Duitsland geroofd goud	Org	153
