Id	Label
0	Vrije Universiteit te Amsterdam
1	fractie-De Lange
2	OSF
3	Gemeente Velsen
4	VVD
5	Munteborg C V
6	CDA
7	ASC AVSV
8	Service management filiaal Duitsland
9	PVV
10	Haaglanden
11	Leefbaar Nederland
12	Stichting Cito
13	@overheid
14	PvdA
15	 Universiteit Leiden
16	Beleid en Maatschappij
17	1 oktober 2012 Kamer voor de Binnenvisserij
18	IFAD Internationaal Fonds voor Landbouwontwikkeling
19	13Volt Tilburg
20	SP
21	1983 Stichting Homomonument
22	 Stichting Nieuwe Kerk te Amsterdam
23	D66
24	Universiteit Leiden
25	21st Century Trust, Salzburg Global Seminar, Londen Salzburg
26	2911 Foundation
27	GroenLinks
28	39f Mediawet Kerken en genootschappen op geestelijke grondslag aan welke landelijke zendtijd is toegewezen
29	3VO
30	4 5 mei comité Vrouwen in verzet, toen en nu
31	4 en 5 mei Comité Amsterdam
32	4 en 5 mei comité Kampen
33	ChristenUnie
34	4 mei comité Tilburg
35	4 Mei comité Tilburg
36	400 jaar diplomatieke betrekkingen Nederland Turkije in 2012
37	4iTrust
38	4mothers
39	5 steden overleg Euregio Aken, Luik, Hasselt, Heerlen en Maastricht
40	61 commissie O L C
41	8 maart viering
42	A de Graafstichting, instituut voor acceptatie van prostitutie en bevordering discussie over prostitutie
43	A European Forum
44	A F C  Amsterdamsche Football Club
45	A G der Woodbrookers
46	A msterdam Nieuws
47	fractie-Van Oudenallen (ex-LPF)
48	A S V A  Algemene Studenten Vereniging Amsterdam
49	A73 Stichting Openbaar Onderwijs
50	AAC Amsterdamse Atletiek Club
51	Aaltense Musea
52	Aan Tafel , dialoog over gevolgen gaswinning in Groningen
53	Aandeelhouderscommissie Maastricht Aachen Airport
54	Aard en levenswetenschappen NWO
55	Aardappel B V
56	Aardbesie
57	Aartsbroederschap der Koninklijke schutterij Sint Sebastianus te Gronsveld
58	ABAC, KUB
59	ABAL Stichting Afzetbevordering van Artikelen uit Ontwikkelingslanden
60	ABC van de Gemeente Rotterdam
61	ABN Algemene Bank Nederland N V
62	ABN AMRO Foundation
63	ABN AMRO Holding N V
64	ABOP Algemeen Bond van Onderwijzendpersoneel , afdeling Enschede
65	ABOP Algemene Bond van Onderwijzend Personeel , afdeling Nijmegen
66	ABP Algemeen Burgerlijk Pensioenfonds
67	ABP naar PGGM
68	ABTB Aartdiocesane Boeren en Tuindersbond
69	ABVA jongeren Friesland
70	ABVA KABO
71	Abva Kabo Gooi Noord
72	ABVA KABO inzake wettelijke regeling ambulancevervoer
73	Unie 55+
74	ABVA KABO N V Psychiatrisch Ziekenhuis te Franeker
75	ABVA KABO N V Waterleiding Friesland
76	Academia Vitae
77	Academic Committee European Association of Tax Law Professors
78	Academic Council on the United Nations System te New York
79	Academie De Gouden Ganzenveer  Cultuurprijs
80	Academie de Gouden Ganzenveer , Amsterdam
81	Académie des Cinquante
82	Academie Eindhoven
83	Academie en Recht, Hogeschool te Enschede
84	Academie Gouden Ganzeveer
85	Academie voor Bedrijfskunde te Groningen
86	Academie voor Beeldende Kunst Oost Nederland
87	Academie voor Beeldende Kunst, het Instituut voor Theaterwetenschappen, de Toneelacademie in Maastricht, de Rietveldacademie en bij toneelverenigingen
88	Academie voor Beeldende Kunsten Rijkshogeschool te Maastricht
89	Academie voor Fiscale Kennisoverdracht
90	LPF
91	Academie voor Kleurrijk Leiderschap
92	Academie voor Overheidscommunicatie
93	Academie voor Wetgeving
94	Academie voor Wetgeving te s Gravenhage
95	academisch onderwijs dierenartsen
96	academisch onderwijs Vrije Universiteit
97	Academisch Ziekenhuis Groningen
98	Academisch Ziekenhuis Groningen vanaf 2007 Universitair Medisch Centrum Groningen
99	Academisch Ziekenhuis Leiden
100	Academisch Ziekenhuis Leiden later Leids Universiteit Medisch Centrum
101	Academisch Ziekenhuis Maastricht
102	Academisch Ziekenhuis Rotterdam
103	Academisch Ziekenhuis Universiteit Maastricht
104	Academisch Ziekenhuis van de Universiteit van Amsterdam
105	Academisch Ziekenhuis van de Vrije Universiteit later VU Medisch Centrum te Amsterdam
106	Academische Adviesraad Masters Programma and Training Support in Economic Management for Ethiopian Policy Makers van Instituut Clingendael
107	Academische Boekengids
108	academische cursussen
109	academische opleiding pastorale zorg in de gezondheidssector te Antwerpen
110	Academische Prijs 2012, 2013, 2014
111	Academische Ziekenhuizen
112	Academy of Science and Technology
113	Acadoo
114	Acantus Groep te Veendam
115	Account Magazine
116	Accountantskantoor Schouwen Duiveland B V
117	Accountantsunie ZLM
118	Accreditatiecommissie NVZD
119	ACE Amsterdam Center for Entrepreneurship
120	ACIR Adviescommissie Coördinatie ICT en Rampenbestrijding
121	ACM Aan en verkoop Coöperatie Meppel
122	ACOA Aviescommissie Onderwijs Arbeidsmarkt
123	ACP Algemene Christelijke Politiebond te Amsterdam
124	ACP Assemblée
125	Acrres
126	ACS systems B V te Oosterhout
127	ACT Belangenvereniging voor acteurs
128	ACT Nederlandse acteursvereniging
129	Acta Politca
130	Acta Politica
131	ACTAL Adviescollege Toetsing Administratieve Lasten
132	Actal Adviescollege toetsing administratieve lasten
133	acteur regisseur zakelijk leider theater
134	Actiecomité Ereschuld Mijnwerkers
135	Actieteam Brede School
136	actieve huisartsen
137	Action for Hope
138	actis secretaris Leidse Studentenvereniging Minerva
139	actis SSR
140	actis VVSL Vereeniging van Vrouwelijke Studenten te Leiden
141	Actiz
142	ActiZ , organisatie voor zorgondernemers
143	Actuarieel Genootschap
144	ACUNS United Nations System
145	ACWW Advies Commissie Warenwet
146	Adatraad Serua
147	Adelante Zorggroep
148	Adfiz  in financiële zekerheid
149	Administratiekantoor Retailplatform
150	Administratiekantoor Uitgeverij Brill
151	ADO Den Haag
152	Adoptievereniging Gereformeerde Gezindte
153	SGP
154	ADR, Centrum voor het Bedrijfsleven
155	ADT Area Development Twente
156	Adure B V te Assen
157	Advies Commissie Pakket, College voor Zorgverzekeringen
158	Advies Commissie Welzijn Edam Volendam
159	Advies en Arbitragecommissie
160	Advies en Arbitragecommissie confrom art 16 Overlegbesluit Onderwijspersoneel
161	Advies en Arbitragecommissie Rijksdienst
162	Advies Evangelische Hogeschool te Amersfoort
163	GPV
164	Advies Free Voice SCO Stichting Communicatie Ontwikkelingssamenwerking
165	Advies Gevangenzorg Nederland
166	Advies Nederand Distributieland te Den Haag
167	Advies Nederlandse Oorlogsgravenstichting
168	Advies Stichting Communicatie ontwikkelingssamenwerking
169	Advies Stichting Communicatie Ontwikkelingssamenwerking
170	Advies Stichting Gevangenzorg Nederland
171	RPF
172	Advies Stichting World Press Photo
173	Advies, Instituut Asbestslachtoffers
174	Advies, Stichting Free Voice
175	adviesbureau
176	Adviesbureau Van Dantzig, Ligtenveld en Nooteboom te Vught
177	AdviescCommissie, Hanzehogeschool
178	Adviescentrum voor Zorgvoorzieningen
179	Adviescollege besteding vierde tranche pool van door Nazi Duitsland geroofd goud
